Rank,Name,Team,ByeWeek,Age,Position,PositionRank,AverageDraftPositionPPR
235,Marvin Mims Jr.,DEN,9,21,WR,WR80,238
236,Trey Lance,SF,9,23,QB,QB29,239
237,Noah Fant,SEA,5,25,TE,TE29,240
238,Chase Edmonds,TB,5,27,RB,RB63,241
239,Joshua Kelley,LAC,5,25,RB,RB64,242
240,Sam Howell,WAS,14,22,QB,QB30,243
241,Ryan Tannehill,TEN,7,35,QB,QB31,244
242,Wan'Dale Robinson,NYG,13,22,WR,WR81,245
243,Justyn Ross,KC,10,23,WR,WR82,246
244,Luke Musgrave,GB,6,22,TE,TE30,247
245,New York Giants,NYG,13,null,DST,DST21,248
246,Deuce Vaughn,DAL,7,21,RB,RB65,249
247,Los Angeles Rams,LAR,10,null,DST,DST22,250
248,Minnesota Vikings,MIN,13,null,DST,DST23,251
249,Jake Ferguson,DAL,7,24,TE,TE31,252
250,Zach Evans,LAR,10,22,RB,RB66,253
251,Baker Mayfield,TB,5,28,QB,QB32,254
252,Ty Chandler,MIN,13,25,RB,RB67,255
253,Detroit Lions,DET,9,null,DST,DST24,256
254,James Robinson,NYG,13,25,RB,RB68,257
255,DeVante Parker,NE,11,30,WR,WR83,258
256,Allen Robinson II,PIT,6,29,WR,WR84,259
257,Mecole Hardman Jr.,NYJ,7,25,WR,WR85,260
258,Trey McBride,ARI,14,23,TE,TE32,261
259,Isaiah Likely,BAL,13,23,TE,TE33,262
260,Joshua Palmer,LAC,5,23,WR,WR86,263
261,Carolina Panthers,CAR,7,null,DST,DST25,264
262,Robert Woods,HOU,7,31,WR,WR87,265
263,Tank Dell,HOU,7,23,WR,WR88,266
264,Jelani Woods,IND,11,24,TE,TE34,267
265,Pierre Strong Jr.,NE,11,24,RB,RB69,268
266,Darius Slayton,NYG,13,26,WR,WR89,269
267,Josh Downs,IND,11,21,WR,WR90,270
268,Chicago Bears,CHI,13,null,DST,DST26,271
269,Indianapolis Colts,IND,11,null,DST,DST27,272
270,Latavius Murray,BUF,13,33,RB,RB70,273
271,Richie James,KC,10,27,WR,WR91,274
272,Sean Tucker,TB,5,21,RB,RB71,275
273,Desmond Ridder,ATL,11,23,QB,QB33,276
274,Deon Jackson,IND,11,24,RB,RB72,277
275,Terrace Marshall Jr.,CAR,7,23,WR,WR92,278
276,Riley Patterson,DET,9,24,K,K18,279
277,Tennessee Titans,TEN,7,null,DST,DST28,280
278,Las Vegas Raiders,LV,13,null,DST,DST29,281
279,Cade Otton,TB,5,24,TE,TE35,282
280,Chris Boswell,PIT,6,32,K,K19,283
